id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSE00001540799	6.77086382035736	4.4619176448817	9.07980999583303	2.03495687694921	1.0249982224666	0.306051038591687	1
ENSE00001388277	105.226436405377	69.4698602119839	140.983012598771	2.02941264267076	1.02106223966696	0.0760023157235288	1
ENSE00001679462	45.8461800572631	30.3097134020845	61.3826467124417	2.02518070356351	1.0180506430608	0.24921311278437	1
ENSE00001785220	13.5611404288341	8.9719026348312	18.150378222837	2.02302443100226	1.01651374267077	0.0929226407014731	1
ENSE00000879969	9.53770455626182	6.37546506281373	12.6999440497099	1.99200276757614	0.994219651806393	0.330815814547836	1
ENSE00001914797	0.647314734630212	0.433069451674511	0.861560017585913	1.98942690197749	0.992352890691873	0.514648353981475	1
ENSE00001355284	127.382438330087	85.9710846674285	168.793791992746	1.96337864813163	0.973338431134418	0.0762070967982236	1
ENSE00001852446	2.89820065357058	1.95644862788599	3.83995267925516	1.96271582321298	0.97285130366503	0.270516555226711	1
ENSE00001761492	63.389245758224	42.7991341532156	83.9793573632324	1.96217421274451	0.972453137736933	0.104581441051025	1
ENSE00001221847	27.8978859688474	18.8772586769578	36.918513260737	1.95571369193563	0.967695181405734	0.126767682805787	1
ENSE00000657465	71.461723342955	48.6001237573739	94.3233229285361	1.94080417159894	0.956654556528726	0.0836685003732315	1
ENSE00003656245	4.35702298581658	2.98274670035459	5.73129927127857	1.92148373530921	0.942220764541205	0.246022320595795	1
ENSE00003773069	1.09586772664666	0.75384324908582	1.43789220420751	1.90741537574453	0.931619051973613	0.565970309557725	1
ENSE00001816801	1.68597499207117	1.15988349161298	2.21206649252935	1.90714542324692	0.93141485592025	0.421536435248899	1
ENSE00001868466	1.01957653029477	0.703375079779686	1.33577798080985	1.89909767805287	0.925314110868343	0.848863857213054	1
ENSE00000651604	0.946462131551209	0.65564664865943	1.23727761444299	1.88711040767583	0.916178832025127	0.70718434792584	1
ENSE00001524773	104.692175893612	72.5649827175405	136.819369069683	1.88547373603399	0.914927054400327	0.119379946631397	1
ENSE00001048120	1.02371745668238	0.710028752465194	1.33740616089956	1.88359437030703	0.913488315824901	0.85073577791895	1
ENSE00001309149	14.1136322422038	9.79985523671044	18.4274092476972	1.880375658884	0.911020910344011	0.179380538627687	1
ENSE00001230540	667.605101933432	464.947937387907	870.262266478956	1.87174132090599	0.904381064818142	0.106241066540014	1
ENSE00002706165	35.5175106182387	24.7628838003432	46.2721374361342	1.86860859216619	0.901964406815972	0.131584145946687	1
ENSE00000657455	2.99766401031949	2.09251936810932	3.90280865252967	1.86512426695291	0.899271755598039	0.540238821017227	1
ENSE00000650388	13.2399045432105	9.25064016688976	17.2291689195312	1.86248395880736	0.897227999991585	0.235624524154725	1
ENSE00001325726	2.67654844475632	1.87468582539154	3.4784110641211	1.85546346860259	0.891779596732178	0.462758918263625	1
ENSE00001704042	345.890985353447	243.929748027063	447.852222679832	1.8359885430216	0.876557056040665	0.117608294847606	1
ENSE00001906222	23.53429684063	16.70565134566	30.3629423356001	1.81752520194241	0.861975368802509	0.139280245172295	1
ENSE00001559219	35.3139203008942	25.0694112712131	45.5584293305752	1.81729155254992	0.861789893251421	0.178840785075666	1
ENSE00001693782	4.92099855112527	3.50268244739873	6.3393146548518	1.80984566829908	0.855866679036371	0.606313348612662	1
ENSE00001548117	4.35973796210075	3.11770933789679	5.60176658630472	1.7967571634127	0.84539543788858	0.695491614665132	1
ENSE00001416553	1.93869862475823	1.3881135264969	2.48928372301956	1.79328540173628	0.842605111688154	0.492538477161514	1
ENSE00001934928	16.6941016621752	11.9583066060702	21.4298967182801	1.79205111762245	0.84161179034674	0.232929159110975	1
ENSE00001557395	1.5073997887242	1.07995031540927	1.93484926203914	1.79160951613398	0.841256234201337	0.51900231211613	1
ENSE00001547917	0.216169964315247	0.155122698140284	0.27721723049021	1.78708360422864	0.83760712883081	1	1
